"time","year","week","BadenWuerttemberg","Bavaria","Berlin","Brandenburg","Bremen","Hamburg","Hesse","MecklenburgVorpommern","Lower.Saxony","North.RhineWestphalia","RhinelandPalatinate","Saarland","Saxony","SaxonyAnhalt","SchleswigHolstein","Thuringia","Unknown","Germany"
2015.76923076923,2015,40,0,1,1,1,1,0,1,0,0,2,0,0,0,0,2,0,0,9
2015.78846153846,2015,41,2,3,1,1,0,0,1,0,1,3,0,0,0,0,2,0,0,14
2015.80769230769,2015,42,0,4,0,1,0,0,0,0,0,5,2,0,0,0,1,0,0,13
2015.82692307692,2015,43,0,5,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,10
2015.84615384615,2015,44,0,1,0,0,1,0,1,0,1,2,1,0,0,0,1,0,0,8
2015.86538461538,2015,45,1,1,1,0,0,1,1,0,0,4,2,0,0,0,1,0,0,12
2015.88461538462,2015,46,1,2,0,1,0,1,1,0,1,2,0,1,0,0,0,0,0,10
2015.90384615385,2015,47,0,0,0,0,0,0,1,0,3,4,0,0,0,2,1,0,0,11
2015.92307692308,2015,48,0,3,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,9
2015.94230769231,2015,49,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,6
2015.96153846154,2015,50,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,8
2015.98076923077,2015,51,1,3,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,10
2016,2015,52,1,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,7
2016.01923076923,2015,53,0,1,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,6
2016.01923076923,2016,1,1,4,0,0,0,0,0,1,2,2,1,0,0,0,1,0,0,12
2016.03846153846,2016,2,0,1,1,0,0,0,1,1,0,3,3,0,0,0,0,0,0,10
2016.05769230769,2016,3,2,1,0,1,0,2,2,0,0,3,0,0,0,0,0,2,0,13
2016.07692307692,2016,4,2,0,1,0,0,0,0,0,2,1,0,0,0,1,1,0,0,8
2016.09615384615,2016,5,2,0,2,0,0,2,2,0,2,3,1,0,2,1,2,0,0,19
2016.11538461538,2016,6,3,1,0,0,1,0,2,0,0,2,2,0,0,0,0,1,0,12
2016.13461538462,2016,7,4,2,2,1,0,1,3,0,1,3,1,0,0,2,0,0,0,20
2016.15384615385,2016,8,0,3,0,0,0,0,2,0,0,3,0,0,0,0,2,0,0,10
2016.17307692308,2016,9,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2016.19230769231,2016,10,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,7
2016.21153846154,2016,11,2,1,4,0,0,0,1,0,0,6,1,0,0,0,2,0,0,17
2016.23076923077,2016,12,1,0,1,0,0,1,1,0,0,2,0,0,0,1,1,0,0,8
2016.25,2016,13,2,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,8
2016.26923076923,2016,14,2,5,0,0,0,0,1,0,2,1,1,0,0,2,1,0,0,15
2016.28846153846,2016,15,1,0,3,0,1,0,1,1,2,3,0,0,0,0,1,0,0,13
2016.30769230769,2016,16,3,3,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,14
2016.32692307692,2016,17,1,2,3,0,0,0,0,0,1,9,0,0,0,0,0,0,0,16
2016.34615384615,2016,18,0,4,2,0,0,0,0,0,1,8,0,0,0,0,0,0,0,15
2016.36538461538,2016,19,1,5,1,0,0,1,1,0,3,5,1,0,2,0,1,0,0,21
2016.38461538462,2016,20,0,0,0,0,0,0,1,0,0,8,0,0,0,1,2,0,0,12
2016.40384615385,2016,21,0,4,0,0,0,0,3,0,0,4,0,0,1,0,0,0,0,12
2016.42307692308,2016,22,2,3,0,0,0,0,3,0,0,7,1,0,1,0,1,0,0,18
2016.44230769231,2016,23,1,1,0,0,0,0,2,0,3,4,2,0,4,0,1,0,0,18
