"","time","year","week","BadenWuerttemberg","Bavaria","Berlin","Brandenburg","Bremen","Hamburg","Hesse","MecklenburgVorpommern","Lower.Saxony","North.RhineWestphalia","RhinelandPalatinate","Saarland","Saxony","SaxonyAnhalt","SchleswigHolstein","Thuringia","Unknown","Germany"
"838",2017.05769230769,2017,3,2,5,1,0,0,0,1,0,0,2,1,0,0,0,1,0,0,13
"839",2017.07692307692,2017,4,4,5,1,0,0,0,3,1,0,1,0,0,0,0,0,2,0,17
"840",2017.09615384615,2017,5,0,3,0,1,0,0,0,1,1,6,1,0,0,0,0,1,0,14
"841",2017.11538461538,2017,6,1,8,2,0,0,1,1,0,2,7,1,0,1,0,2,0,0,26
"842",2017.13461538462,2017,7,0,5,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,11
"843",2017.15384615385,2017,8,1,2,0,1,0,0,3,2,4,7,1,1,0,0,0,0,0,22
"844",2017.17307692308,2017,9,2,2,0,1,0,2,2,0,3,2,0,0,1,0,0,0,0,15
"845",2017.19230769231,2017,10,3,5,0,1,0,0,3,0,3,4,0,0,0,2,1,0,0,22
"846",2017.21153846154,2017,11,1,2,0,1,0,1,4,0,0,5,0,0,0,0,2,0,0,16
"847",2017.23076923077,2017,12,1,5,2,0,0,0,1,0,1,2,0,1,1,1,1,0,0,16
"848",2017.25,2017,13,2,8,0,1,0,0,5,1,0,3,1,0,0,1,1,0,0,23
"849",2017.26923076923,2017,14,1,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,8
"850",2017.28846153846,2017,15,1,2,1,0,1,0,2,0,4,1,3,0,0,1,1,0,0,17
"851",2017.30769230769,2017,16,0,1,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,7
"852",2017.32692307692,2017,17,0,7,2,0,0,0,2,0,4,3,1,0,1,0,0,0,0,20
"853",2017.34615384615,2017,18,0,2,2,0,0,1,5,0,0,5,1,0,0,0,0,0,0,16
"854",2017.36538461538,2017,19,1,4,1,1,0,2,7,0,0,4,2,0,0,0,0,0,0,22
"855",2017.38461538462,2017,20,0,2,1,0,0,1,2,1,0,3,1,0,2,0,1,0,0,14
"856",2017.40384615385,2017,21,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,7
"857",2017.42307692308,2017,22,0,2,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,7
"858",2017.44230769231,2017,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"859",2017.46153846154,2017,24,0,0,3,1,0,0,2,0,1,4,1,0,0,1,1,0,0,14
"860",2017.48076923077,2017,25,1,1,0,0,0,0,3,0,2,9,1,0,0,1,0,1,0,19
"861",2017.5,2017,26,2,4,0,0,0,0,1,0,0,8,1,0,1,0,1,0,0,18
"862",2017.51923076923,2017,27,0,0,0,1,0,1,2,0,1,4,4,0,0,0,1,0,0,14
"863",2017.53846153846,2017,28,0,1,1,0,0,0,0,0,1,3,4,0,0,1,1,0,0,12
"864",2017.55769230769,2017,29,2,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,8
"865",2017.57692307692,2017,30,0,0,1,1,0,0,0,0,2,3,1,0,0,0,0,0,0,8
"866",2017.59615384615,2017,31,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"867",2017.61538461538,2017,32,1,0,2,0,0,1,0,0,1,2,1,0,0,0,0,0,0,8
"868",2017.63461538462,2017,33,0,2,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,7
"869",2017.65384615385,2017,34,2,1,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,8
"870",2017.67307692308,2017,35,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
"871",2017.69230769231,2017,36,0,1,0,0,0,1,0,0,0,3,2,0,1,0,1,0,0,9
"872",2017.71153846154,2017,37,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
"873",2017.73076923077,2017,38,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,5
"874",2017.75,2017,39,0,1,0,0,0,1,0,1,2,8,1,0,0,2,0,0,0,16
"875",2017.76923076923,2017,40,0,1,1,0,0,1,3,0,1,1,0,0,0,0,1,1,0,10
"876",2017.78846153846,2017,41,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,6
"877",2017.80769230769,2017,42,1,1,2,0,0,0,2,0,1,5,1,1,1,1,0,0,0,16
"878",2017.82692307692,2017,43,2,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,8
"879",2017.84615384615,2017,44,0,1,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,8
"880",2017.86538461538,2017,45,1,4,0,0,0,0,3,0,1,4,1,0,0,0,0,0,0,14
"881",2017.88461538462,2017,46,2,3,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,12
"882",2017.90384615385,2017,47,4,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,11
"883",2017.92307692308,2017,48,1,3,2,0,0,0,1,0,0,4,1,0,1,0,0,0,0,13
"884",2017.94230769231,2017,49,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5
"885",2017.96153846154,2017,50,0,2,1,0,0,1,0,0,2,3,2,0,0,0,0,0,0,11
"886",2017.98076923077,2017,51,3,5,1,0,0,0,1,0,3,4,2,1,0,0,1,2,0,23
"887",2018,2017,52,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,4
"888",2018.01923076923,2018,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
"889",2018.03846153846,2018,2,2,1,1,0,0,0,3,0,1,3,1,0,0,0,1,0,0,13
"890",2018.05769230769,2018,3,3,3,1,0,0,0,1,0,0,2,1,0,0,0,1,0,0,12
"891",2018.07692307692,2018,4,3,3,1,0,1,1,2,0,0,1,0,0,1,0,2,1,0,16
"892",2018.09615384615,2018,5,1,10,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,17
"893",2018.11538461538,2018,6,0,5,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,14
"894",2018.13461538462,2018,7,1,5,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,9
"895",2018.15384615385,2018,8,1,4,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,11
"896",2018.17307692308,2018,9,1,7,0,1,0,0,1,1,1,2,2,0,0,0,0,0,0,16
"897",2018.19230769231,2018,10,0,1,0,1,0,0,1,0,3,2,1,0,0,0,1,0,0,10
"898",2018.21153846154,2018,11,1,2,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,11
"899",2018.23076923077,2018,12,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,6
"900",2018.25,2018,13,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,6
"901",2018.26923076923,2018,14,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8
